phase,epoch,tr_loss,tr_acc,val_loss,val_acc
Head,1,1.4171641270319622,0.3283582089552239,1.3583492239316304,0.4166666666666667
Head,2,1.363809171177092,0.3940298507462687,1.307519018650055,0.40476190476190477
Head,3,1.3521075873147874,0.3402985074626866,1.2857731978098552,0.35714285714285715
Head,4,1.3103320314770652,0.382089552238806,1.2697768608729045,0.40476190476190477
Head,5,1.3016153460457212,0.3701492537313433,1.2612788279851277,0.40476190476190477
Head,6,1.2972680784407116,0.37910447761194027,1.257722795009613,0.4166666666666667
Head,7,1.2814984718958538,0.3761194029850746,1.253220518430074,0.4166666666666667
Head,8,1.292566764922369,0.3880597014925373,1.2522119283676147,0.40476190476190477
FT,1,1.162986389228276,0.45671641791044776,0.9704366425673167,0.6309523809523809
FT,2,0.732352390175774,0.8149253731343283,0.9108520050843557,0.6666666666666666
FT,3,0.5181888171604702,0.9253731343283582,0.9325818220774332,0.7023809523809523
FT,4,0.4120782429263705,0.9791044776119403,0.919706126054128,0.7023809523809523
FT,5,0.3437356189602897,0.9701492537313433,0.9189497629801432,0.7142857142857143
FT,6,0.30484682605380103,0.991044776119403,0.9571215808391571,0.6904761904761905
FT,7,0.30975868304570514,0.982089552238806,0.9344556629657745,0.7023809523809523
FT,8,0.2779735284192221,0.9940298507462687,0.9595646858215332,0.6785714285714286
FT,9,0.2668344286226091,1.0,0.95762367049853,0.7142857142857143
FT,10,0.2705659916003545,1.0,0.9525237282117208,0.7261904761904762
